iter	Passed	Remaining
222	297	1037
223	298	1033
224	298	1029
225	299	1025
226	299	1021
227	300	1017
228	301	1013
229	301	1010
230	302	1006
231	303	1004
232	304	1002
233	305	999
234	306	997
235	307	994
236	307	990
237	308	987
238	308	983
239	309	980
240	310	976
241	310	973
242	311	970
243	313	970
244	313	967
245	314	964
246	315	960
247	315	957
248	316	953
249	316	950
250	317	946
251	317	943
252	318	940
253	318	936
254	319	933
255	320	930
256	320	927
257	321	924
258	321	921
259	323	919
260	323	916
261	324	913
262	325	911
263	325	908
264	326	905
265	327	902
266	327	899
267	328	896
268	328	893
269	329	890
270	330	887
271	330	884
272	331	881
273	331	878
274	332	875
275	333	874
276	334	872
277	334	869
278	335	866
279	335	863
280	336	860
281	337	858
282	337	856
283	338	853
284	339	850
285	339	847
286	340	845
287	340	842
288	341	839
289	341	836
290	342	834
291	343	831
292	344	830
293	344	828
294	345	825
295	346	823
296	347	822
297	348	820
298	348	817
299	349	814
300	349	812
301	350	810
302	351	807
303	351	805
304	352	802
305	352	800
306	354	799
307	354	797
308	355	795
309	356	793
310	357	790
311	357	788
312	358	786
313	358	784
314	359	782
315	360	780
316	360	777
317	361	775
318	363	775
319	363	773
320	364	771
321	365	770
322	366	768
323	367	766
324	367	763
325	368	761
326	369	759
327	369	757
328	370	755
329	371	753
330	371	751
331	373	751
332	374	749
333	374	747
334	375	744
335	375	742
336	376	740
337	377	738
338	377	736
339	378	734
340	379	732
341	379	730
342	380	728
343	380	726
344	381	724
345	382	722
346	383	721
347	384	720
348	385	718
349	385	716
350	386	714
351	387	712
352	388	712
353	389	710
354	389	708
355	390	706
356	390	703
357	391	701
358	391	699
359	392	697
360	394	697
361	394	696
362	395	694
363	396	692
364	397	691
365	398	689
366	398	687
367	399	686
368	400	684
369	400	682
370	401	680
371	401	678
372	402	676
373	403	674
374	404	673
375	404	671
376	405	670
377	406	668
378	406	666
379	407	664
380	408	662
381	408	660
382	409	659
383	409	657
384	410	655
385	410	653
386	411	651
387	411	649
388	412	647
389	413	646
390	414	645
391	415	643
392	415	642
393	416	640
394	416	638
395	417	636
396	418	635
397	418	633
398	419	631
399	419	629
400	420	628
401	421	626
402	421	624
403	422	623
404	422	621
405	423	619
406	425	619
407	425	617
408	426	615
409	426	614
410	427	612
411	427	610
412	428	609
413	429	607
414	429	605
415	430	603
416	430	602
417	431	600
418	431	598
419	432	597
420	432	595
421	433	593
422	434	592
423	435	592
424	436	590
425	437	589
426	437	587
427	438	585
428	439	584
429	439	582
430	440	581
431	440	579
432	441	578
433	442	576
434	442	575
435	443	573
436	444	572
437	445	572
438	446	570
439	447	569
440	448	567
441	449	567
442	449	565
443	450	564
444	451	562
445	452	561
446	452	560
447	453	558
448	454	557
449	454	556
450	456	555
451	457	554
452	457	552
453	458	551
454	459	549
455	459	548
456	460	546
457	460	545
458	461	543
459	461	542
460	462	540
461	463	539
462	463	537
463	464	536
464	464	534
465	465	533
466	466	532
467	467	531
468	467	529
469	468	528
470	468	526
471	469	525
472	470	523
473	470	522
474	471	520
475	471	519
476	472	517
477	472	516
478	473	515
479	474	513
480	474	512
481	475	510
482	475	509
483	477	509
484	478	507
485	478	506
486	479	504
487	479	503
488	480	502
489	481	500
490	481	499
491	482	497
492	482	496
493	483	495
494	483	493
495	484	492
496	485	490
497	485	489
498	486	488
499	487	487
500	488	486
501	488	484
502	489	483
503	489	481
504	490	480
505	490	479
506	491	478
507	492	476
508	492	475
509	493	474
510	493	472
511	494	471
512	495	470
513	495	468
514	496	467
515	497	466
516	498	465
517	498	463
518	499	462
519	499	461
520	500	460
521	500	458
522	501	457
523	502	456
524	502	454
525	503	453
526	503	452
527	504	450
528	504	449
529	505	448
530	506	447
531	506	445
532	507	445
533	508	443
534	509	442
535	509	441
536	510	439
537	510	438
538	511	437
539	512	436
540	512	434
541	513	433
542	513	432
543	514	431
544	514	429
545	515	428
546	516	427
547	516	426
548	517	424
549	518	424
550	519	422
551	519	421
552	520	420
553	520	419
554	521	418
555	522	416
556	522	415
557	523	414
558	523	413
559	524	411
560	524	410
561	525	409
562	525	408
563	526	407
564	527	405
565	527	404
566	529	404
567	530	403
568	530	401
569	531	400
570	531	399
571	532	398
572	532	397
573	533	396
574	534	394
575	534	393
576	535	392
577	536	391
578	536	390
579	537	389
580	537	387
581	538	386
582	539	386
583	540	384
584	541	383
585	541	382
586	542	381
587	543	380
588	543	379
589	544	378
590	544	377
591	545	375
592	546	374
593	546	373
594	547	372
595	547	371
596	548	370
597	549	369
598	550	368
599	551	367
600	551	366
601	552	365
602	552	364
603	553	362
604	554	361
605	554	360
606	555	359
607	555	358
608	556	357
609	556	356
610	557	354
611	558	353
612	558	352
613	559	351
614	560	350
615	561	349
616	561	348
617	562	347
618	562	346
619	563	345
620	564	344
621	564	343
622	565	342
623	565	340
624	566	339
625	566	338
626	567	337
627	568	336
628	568	335
629	569	334
630	569	333
631	570	332
632	571	331
633	571	330
634	572	329
635	573	328
636	573	326
637	574	325
638	574	324
639	575	323
640	576	322
641	576	321
642	577	320
643	577	319
644	578	318
645	578	317
646	579	316
647	580	315
648	581	314
649	581	313
650	582	312
651	583	311
652	583	310
653	584	309
654	584	307
655	585	306
656	585	305
657	586	304
658	586	303
659	587	302
660	588	301
661	589	300
662	592	300
663	592	299
664	593	298
665	593	297
666	594	296
667	595	295
668	595	294
669	596	293
670	596	292
671	597	291
672	597	290
673	598	289
674	599	288
675	599	287
676	600	286
677	601	285
678	602	284
679	602	283
680	603	282
681	603	281
682	604	280
683	604	279
684	605	278
685	606	277
686	606	276
687	607	275
688	607	274
689	608	273
690	608	272
691	609	271
692	610	270
693	610	269
694	611	268
695	612	267
696	613	266
697	613	265
698	614	264
699	614	263
700	615	262
701	615	261
702	616	260
703	617	259
704	617	258
705	618	257
706	618	256
707	619	255
708	620	254
709	620	253
710	621	252
711	622	251
712	623	250
713	623	249
714	624	248
715	625	247
716	625	246
717	626	245
718	626	244
719	627	243
720	627	242
721	628	241
722	628	240
723	629	240
724	630	239
725	630	238
726	631	237
727	632	236
728	632	235
729	633	234
730	634	233
731	634	232
732	635	231
733	636	230
734	637	229
735	637	228
736	638	227
737	638	226
738	639	225
739	639	224
740	640	223
741	640	222
742	641	221
743	642	220
744	643	220
745	643	219
746	644	218
747	645	217
748	645	216
749	646	215
750	646	214
751	647	213
752	648	212
753	648	211
754	649	210
755	649	209
756	650	208
757	650	207
758	651	206
759	652	205
760	653	205
761	654	204
762	654	203
763	655	202
764	655	201
765	656	200
766	657	199
767	657	198
768	658	197
769	658	196
770	659	195
771	660	194
772	660	193
773	661	193
774	661	192
775	662	191
776	663	190
777	664	189
778	664	188
779	665	187
780	665	186
781	666	185
782	667	184
783	667	183
784	668	183
785	668	182
786	669	181
787	670	180
788	671	179
789	674	179
790	674	178
791	676	177
792	677	176
793	677	175
794	678	174
795	679	174
796	679	173
797	680	172
798	681	171
799	682	170
800	683	169
801	684	169
802	685	168
803	686	167
804	687	166
805	687	165
806	688	164
807	689	163
808	690	162
809	690	162
810	691	161
811	692	160
812	692	159
813	694	158
814	695	157
815	696	157
816	697	156
817	698	155
818	699	154
819	699	153
820	700	152
821	701	151
822	702	150
823	702	150
824	703	149
825	706	148
826	706	147
827	707	147
828	708	146
829	709	145
830	709	144
831	710	143
832	711	142
833	712	141
834	713	140
835	713	140
836	716	139
837	727	140
838	729	140
839	730	139
840	731	138
841	731	137
842	732	136
843	733	135
844	733	134
845	734	133
846	734	132
847	735	131
848	735	130
849	737	130
850	737	129
851	738	128
852	739	127
853	740	126
854	740	125
855	741	124
856	742	123
857	742	122
858	743	122
859	743	121
860	744	120
861	744	119
862	745	118
863	746	117
864	746	116
865	747	115
866	748	114
867	749	113
868	749	113
869	750	112
870	750	111
871	751	110
872	751	109
873	752	108
874	753	107
875	753	106
876	754	105
877	754	104
878	755	104
879	756	103
880	756	102
881	757	101
882	758	100
883	758	99
884	759	98
885	760	97
886	760	96
887	761	96
888	761	95
889	762	94
890	763	93
891	763	92
892	764	91
893	764	90
894	765	89
895	765	88
896	766	88
897	766	87
898	767	86
899	768	85
900	769	84
901	769	83
902	770	82
903	770	81
904	771	80
905	771	80
906	772	79
907	773	78
908	773	77
909	774	76
910	774	75
911	775	74
912	775	73
913	776	73
914	777	72
915	778	71
916	778	70
917	779	69
918	780	68
919	780	67
920	781	67
921	781	66
922	782	65
923	782	64
924	783	63
925	784	62
926	784	61
927	785	60
928	785	60
929	786	59
930	786	58
931	787	57
932	788	56
933	789	55
934	789	54
935	790	54
936	790	53
937	791	52
938	792	51
939	792	50
940	793	49
941	793	48
942	794	48
943	795	47
944	795	46
945	796	45
946	796	44
947	797	43
948	797	42
949	799	42
950	799	41
951	800	40
952	801	39
953	801	38
954	802	37
955	802	36
956	803	36
957	803	35
958	804	34
959	805	33
960	805	32
961	806	31
962	806	30
963	807	30
964	807	29
965	808	28
966	809	27
967	810	26
968	811	25
969	811	25
970	812	24
971	813	23
972	813	22
973	814	21
974	814	20
975	815	20
976	815	19
977	816	18
978	817	17
979	817	16
980	818	15
981	818	15
982	820	14
983	820	13
984	821	12
985	822	11
986	822	10
987	823	10
988	824	9
989	824	8
990	825	7
991	825	6
992	826	5
993	827	4
994	827	4
995	828	3
996	828	2
997	830	1
998	830	0
999	831	0
